Date,RegionID,RegionName,State,Metro,County,City,SizeRank,Zhvi,MoM,QoQ,YoY,5Year,10Year,PeakMonth,PeakQuarter,PeakZHVI,PctFallFromPeak,LastTimeAtCurrZHVI
8/31/2018,61639,10025,NY,New York-Newark-Jersey City,New York,New York,0,1115100,0.000448591,-0.006592428,0.013174632,0.049858255,0.031116287,2016-07,2016-Q3,1141200,-0.022870662,2016-02
8/31/2018,84654,60657,IL,Chicago-Naperville-Elgin,Cook,Chicago,1,346700,-0.000864553,-0.007159221,0.006386067,0.032305878,0.00818205,2018-03,2018-Q1,352300,-0.015895544,2017-11
8/31/2018,61637,10023,NY,New York-Newark-Jersey City,New York,New York,2,1489400,-0.002411253,-0.015858332,-0.074216808,0.022897087,0.01768555,2016-12,2016-Q4,1623900,-0.082825297,2015-07
8/31/2018,91982,77494,TX,Houston-The Woodlands-Sugar Land,Harris,Katy,3,336100,0.000595415,0.005384385,0.048673947,0.047107934,0.030947906,2018-08,2018-Q3,336100,0,2018-08
8/31/2018,84616,60614,IL,Chicago-Naperville-Elgin,Cook,Chicago,4,424000,-0.002822201,-0.007490637,0.009043313,0.036902404,0.013757665,2018-03,2018-Q1,429500,-0.012805588,2017-11
8/31/2018,93144,79936,TX,El Paso,El Paso,El Paso,5,122900,0,0.006552007,0.028451883,0.017118581,-0.001372816,2007-10,2007-Q4,132400,-0.071752266,2007-03
8/31/2018,91940,77449,TX,Houston-The Woodlands-Sugar Land,Harris,Katy,6,176100,-0.000567537,-0.003395586,0.05260012,0.071982746,0.030421435,2018-05,2018-Q2,176700,-0.003395586,2018-04
8/31/2018,91733,77084,TX,Houston-The Woodlands-Sugar Land,Harris,Houston,7,165000,-0.001814882,-0.001210654,0.041009464,0.066831728,0.028069946,2018-06,2018-Q2,165500,-0.003021148,2018-05
8/31/2018,61616,10002,NY,New York-Newark-Jersey City,New York,New York,8,1013300,0.002175848,0.009665205,0.013806903,0.070792301,0.030739269,2018-08,2018-Q3,1013300,0,2018-08
8/31/2018,61807,10467,NY,New York-Newark-Jersey City,Bronx,New York,9,411100,0.000486736,0.020352445,0.112584574,0.064344903,0.015836417,2018-08,2018-Q3,411100,0,2018-08
8/31/2018,84640,60640,IL,Chicago-Naperville-Elgin,Cook,Chicago,10,240000,-0.002493766,-0.00990099,0.000834028,0.045683163,-0.003356704,2007-01,2007-Q1,270000,-0.111111111,2005-01
8/31/2018,97564,94109,CA,San Francisco-Oakland-Hayward,San Francisco,San Francisco,11,1246400,0.0016072,0.007191919,0.029062087,0.065023236,0.048304026,2018-01,2018-Q1,1257200,-0.008590519,2017-11
